楽曲名,セクション,No.0難易度評価,No.1難易度評価,No.2難易度評価,No.3難易度評価,No.4難易度評価,No.5難易度評価,No.0難易度評価（正規化）,No.1難易度評価（正規化）,No.2難易度評価（正規化）,No.3難易度評価（正規化）,No.4難易度評価（正規化）,No.5難易度評価（正規化）,難易度評価平均,難易度分散（不偏分散）,正規化難易度評価平均,正規化難易度分散（不偏分散）,跳躍割合,上向跳躍割合,下降跳躍割合,音域,タイの数,音価コスト,テンポ,音価コストとテンポの積,変化割合,ピッチエントロピー,音価エントロピー
Lemon,Aメロ,3,6,4,,,6,-0.830020903,1.374436202,0.373544697,,,0.81929073,4.75,2.25,0.434312681,0.878090831,0.49,0.21,0.28,16,14,7.36,87,640.32,0.318,2.34,1.96
Lemon,Bメロ,4,4,2,,,6,-0.174742967,0.028051917,-0.933858474,,,0.81929073,4,2.666666667,-0.065314698,0.519195642,0.093,0.047,0.047,13,4,6.53,87,568.11,0.267,1.93,1.89
Lemon,サビ,7,6,6,,,6,1.791090841,1.374436202,1.680947867,,,0.81929073,6.25,0.25,1.41644141,0.189559745,0.33,0.15,0.18,20,18,5.12,87,445.44,0.195,2.17,1.65
ultrasoul,Aメロ,5,,,,5,,0.480534969,,,,0,,5,0,0.240267484,0.115456928,0.24,0.16,0.08,10,4,4.02,127,510.54,0.25,1.75,1.07
ultrasoul,Bメロ,6,,,,6,,1.135812905,,,,0.960771692,,6,0,1.048292298,0.015319713,0.43,0.24,0.19,15,0,4.33,127,549.91,0.478,2.13,0.333
ultrasoul,サビ,7,,,,6,,1.791090841,,,,0.960771692,,6.5,0.5,1.375931267,0.344714945,0.31,0.16,0.16,13,2,5.42,127,688.34,0.349,2.09,1.06
キセキ,Aメロ,4,5,,7,6,6,-0.174742967,0.701244059,,1.517813054,0.960771692,0.81929073,5.6,1.3,0.764875314,0.37379578,0.26,0.14,0.12,13,2,6.59,90,593.1,0.279,1.75,0.755
キセキ,Bメロ,5,6,,5,6,6,0.480534969,1.374436202,,-0.101187537,0.960771692,0.81929073,5.6,0.3,0.706769211,0.3067334,0.23,0.12,0.11,15,4,6.71,90,603.9,0.241,2.05,1.13
キセキ,サビ,4,6,,6,5,6,-0.174742967,1.374436202,,0.708312759,0,0.81929073,5.4,0.8,0.545459345,0.40123119,0.26,0.14,0.12,14,4,6.4,90,576,0.287,1.91,0.99
チェリー,Aメロ,2,3,3,5,5,,-1.48529884,-0.645140226,-0.280156888,-0.101187537,0,,3.6,1.8,-0.502356698,0.362308523,0.14,0.081,0.054,15,4,5.78,97,560.66,0.116,2.04,1.12
チェリー,Bメロ,3,3,3,5,4,,-0.830020903,-0.645140226,-0.280156888,-0.101187537,-0.960771692,,3.6,0.8,-0.563455449,0.13238486,0.14,0.028,0.11,13,4,6.15,97,596.55,0.163,2.06,1.08
チェリー,サビ,4,5,4,6,6,,-0.174742967,0.701244059,0.373544697,0.708312759,0.960771692,,5,1,0.513826048,0.191629287,0.24,0.2,0.044,9,4,6.37,97,617.89,0.146,1.65,1.53
小さな恋のうた,Aメロ,4,3,2,5,5,5,-0.174742967,-0.645140226,-0.933858474,-0.101187537,0,0.117043539,4,1.6,-0.289647611,0.167879268,0.15,0.15,0,9,8,6.76,202,1365.52,0.276,1.87,0.367
小さな恋のうた,Bメロ,6,2,5,6,5,5,1.135812905,-1.318332368,1.027246282,0.708312759,0,0.117043539,4.833333333,2.166666667,0.278347186,0.826769866,0.11,0.071,0.036,15,6,6.32,202,1276.64,0.105,2.17,0.753
小さな恋のうた,サビ,4,3,6,4,5,4,-0.174742967,-0.645140226,1.680947867,-0.910687832,0,-0.585203652,4.333333333,1.066666667,-0.105804468,0.875394975,0.24,0.12,0.11,16,10,4.86,202,981.72,0.226,1.94,1.03
世界に一つだけの花,Aメロ,1,3,1,2,4,2,-2.140576776,-0.645140226,-1.587560059,-2.529688423,-0.960771692,-1.989698034,2.166666667,1.366666667,-1.642239202,0.523645648,0.14,0.11,0.023,12,23,7.2,96,691.2,0.0513,1.69,1.27
世界に一つだけの花,Bメロ,2,2,2,4,3,2,-1.48529884,-1.318332368,-0.933858474,-0.910687832,-1.921543384,-1.989698034,2.5,0.7,-1.426569822,0.217235071,0.039,0.02,0.02,9,7,6.22,96,597.12,0.0333,1.36,1.29
世界に一つだけの花,サビ,1,2,1,3,2,2,-2.140576776,-1.318332368,-1.587560059,-1.720188128,-2.882315075,-1.989698034,1.833333333,0.566666667,-1.939778407,0.297932032,0.089,0.089,0,10,12,7.24,96,695.04,0.103,1.6,1.3
前前前世,Aメロ,5,3,2,6,5,6,0.480534969,-0.645140226,-0.933858474,0.708312759,0,0.81929073,4.5,2.7,0.071523293,0.532292438,0.067,0.05,0.017,10,6,5.04,190,957.6,0.203,1.64,1.49
前前前世,Bメロ,6,6,4,7,7,6,1.135812905,1.374436202,0.373544697,1.517813054,1.921543384,0.81929073,6,1.2,1.190406829,0.296718741,0.32,0.095,0.22,10,7,3.46,190,657.4,0.478,1.67,1.08
前前前世,サビ,5,6,3,6,5,5,0.480534969,1.374436202,-0.280156888,0.708312759,0,0.117043539,5,1.2,0.40002843,0.350749259,0.16,0.081,0.081,10,11,4.33,190,822.7,0.135,1.43,0.847
天体観測,Aメロ,4,3,4,5,5,,-0.174742967,-0.645140226,0.373544697,-0.101187537,0,,4.2,0.7,-0.109505207,0.134139656,0.23,0.083,0.15,14,7,5.05,165,833.25,0.295,1.77,1.05
天体観測,Bメロ,5,5,4,6,6,,0.480534969,0.701244059,0.373544697,0.708312759,0.960771692,,5.2,0.7,0.644881635,0.05190508,0.47,0.31,0.16,14,2,4.8,165,792,0.622,2.15,0.854
天体観測,サビ,6,3,5,4,4,,1.135812905,-0.645140226,1.027246282,-0.910687832,-0.960771692,,4.4,1.3,-0.070708113,1.122237044,0.21,0.09,0.12,12,9,4.33,165,714.45,0.271,1.83,0.908
粉雪,Aメロ,3,2,2,6,5,,-0.830020903,-1.318332368,-0.933858474,0.708312759,0,,3.6,3.3,-0.474779797,0.668413567,0.12,0.061,0.061,9,28,6.95,82,569.9,0.227,1.75,1.51
粉雪,Bメロ,3,3,3,3,5,,-0.830020903,-0.645140226,-0.280156888,-1.720188128,0,,3.4,0.8,-0.695101229,0.431711774,0.22,0.1,0.12,17,7,6.68,82,547.76,0.206,2.2,1.13
粉雪,サビ,5,5,6,6,5,,0.480534969,0.701244059,1.680947867,0.708312759,0,,5.4,0.3,0.714207931,0.374871235,0.24,0.15,0.087,10,18,6.4,82,524.8,0.0769,1.96,1.68
恋,Aメロ,5,,,5,,5,0.480534969,,,-0.101187537,,0.117043539,5,0,0.165463657,0.086358649,0.26,0.065,0.19,14,4,4.33,158,684.14,0.355,1.93,0.708
恋,Bメロ,4,,,6,,4,-0.174742967,,,0.708312759,,-0.585203652,4.666666667,1.333333333,-0.017211287,0.436908349,0.52,0.26,0.26,12,3,4.22,158,666.76,0.528,1.71,0.688
恋,サビ,5,,,5,,5,0.480534969,,,-0.101187537,,0.117043539,5,0,0.165463657,0.086358649,0.45,0.2,0.25,15,6,4.33,158,684.14,0.369,1.92,0.716
