曲名,セクション,No.0難易度評価,No.1難易度評価,No.2難易度評価,No.3難易度評価,No.4難易度評価,No.5難易度評価,No.6難易度評価,No.7難易度評価,No.8難易度評価,No.9難易度評価,No.10難易度評価,No.11難易度評価,No.0難易度評価（正規化）,No.1難易度評価（正規化）,No.2難易度評価（正規化）,No.3難易度評価（正規化）,No.4難易度評価（正規化）,No.5難易度評価（正規化）,No.6難易度評価（正規化）,No.7難易度評価（正規化）,No.8難易度評価（正規化）,No.9難易度評価（正規化）,No.10難易度評価（正規化）,No.11難易度評価（正規化）,難易度評価平均,難易度分散（不偏分散）,正規化難易度評価平均,正規化難易度分散（不偏分散）,,キャッチネス０,キャッチネス１,キャッチネス２,キャッチネス３,キャッチネス４,キャッチネス５,キャッチネス６,キャッチネス７,キャッチネス８,キャッチネス９,キャッチネス１０,キャッチネス１１,嗜好度０,嗜好度１,嗜好度２,嗜好度３,嗜好度４,嗜好度５,嗜好度６,嗜好度７,嗜好度８,嗜好度９,嗜好度１０,嗜好度１１,記憶度0,記憶度1,記憶度2,記憶度3,記憶度4,記憶度5,記憶度6,記憶度7,記憶度8,記憶度9,記憶度10,記憶度11
Lemon,Aメロ,3,6,4,,,6,5,,4,4,3,6,-0.830020903,1.374436202,0.373544697,,,0.81929073,0.337189306,,-0.432006221,0.172910663,-1.110530442,0.73767236,4.56,1.528,0.16,0.658,,2,5,7,,,7,4,,5,4,5,7,2,6,5,,,6,6,,5,7,7,6,2,3,2,,,1,1,,2,3,2,3
Lemon,Bメロ,4,4,2,,,6,4,,6,2,5,1,-0.174742967,0.028051917,-0.933858474,,,0.81929073,-0.385354046,,1.123203733,-0.979827089,0.19597596,-2.099529025,3.78,3.194,-0.27,0.968,,2,5,7,,,7,4,,5,4,5,7,2,6,5,,,6,6,,5,7,7,6,2,3,2,,,1,1,,2,3,2,3
Lemon,サビ,7,6,6,,,6,6,,5,7,6,,1.791090841,1.374436202,1.680947867,,,0.81929073,1.059732659,,0.345598756,1.902017291,0.849229161,,6.13,0.411,1.23,0.302,,2,5,7,,,7,4,,5,4,5,7,2,6,5,,,6,6,,5,7,7,6,2,3,2,,,1,1,,2,3,2,3
ultrasoul,Aメロ,5,,,,5,,5,,5,3,5,6,0.480534969,,,,0,,0.337189306,,0.345598756,-0.403458213,0.19597596,0.73767236,4.86,0.810,0.24,0.133,,4,,,,3,,4,,,3,5,3,7,,,,5,,6,,,3,7,4,3,,,,2,,2,,,2,1,2
ultrasoul,Bメロ,6,,,,6,,6,,7,3,6,2,1.135812905,,,,0.960771692,,1.059732659,,1.900808709,-0.403458213,0.849229161,-1.532088748,5.14,3.476,0.57,1.321,,4,,,,3,,4,,,3,5,3,7,,,,5,,6,,,3,7,4,3,,,,2,,2,,,2,1,2
ultrasoul,サビ,7,,,,6,,5,,6,2,3,2,1.791090841,,,,0.960771692,,0.337189306,,1.123203733,-0.979827089,-1.110530442,-1.532088748,4.43,4.286,0.08,1.666,,4,,,,3,,4,,,3,5,3,7,,,,5,,6,,,3,7,4,3,,,,2,,2,,,2,1,2
キセキ,Aメロ,4,5,,7,6,6,5,5,4,5,6,2,-0.174742967,0.701244059,,1.517813054,0.960771692,0.81929073,0.337189306,0.512347577,-0.432006221,0.749279539,0.849229161,-1.532088748,5.00,1.800,0.39,0.693,,5,6,,7,5,7,5,5,3,6,6,6,3,7,,6,4,2,6,3,3,6,7,6,3,3,,2,2,1,2,1,1,3,1,2
キセキ,Bメロ,5,6,,5,6,6,6,5,4,2,4,2,0.480534969,1.374436202,,-0.101187537,0.960771692,0.81929073,1.059732659,0.512347577,-0.432006221,-0.979827089,-0.457277241,-1.532088748,4.64,2.255,0.15,0.855,,5,6,,7,5,7,5,5,3,6,6,6,3,7,,6,4,2,6,3,3,6,7,6,3,3,,2,2,1,2,1,1,3,1,2
キセキ,サビ,4,6,,6,5,6,4,4,6,3,5,3,-0.174742967,1.374436202,,0.708312759,0,0.81929073,-0.385354046,0,1.123203733,-0.403458213,0.19597596,-0.964648471,4.73,1.418,0.21,0.516,,5,6,,7,5,7,5,5,3,6,6,6,3,7,,6,4,2,6,3,3,6,7,6,3,3,,2,2,1,2,1,1,3,1,2
チェリー,Aメロ,2,3,3,5,5,,2,5,,5,3,4,-1.48529884,-0.645140226,-0.280156888,-0.101187537,0,,-1.830440751,0.512347577,,0.749279539,-1.110530442,-0.397208194,3.70,1.567,-0.46,0.686,,7,7,6,7,5,,6,5,5,7,6,7,6,5,4,7,7,,6,5,5,5,6,5,3,3,2,2,3,,3,2,2,3,3,3
