曲名	セクション	No.0難易度評価	No.1難易度評価	No.2難易度評価	No.3難易度評価	No.4難易度評価	No.5難易度評価	No.6難易度評価	No.7難易度評価	No.8難易度評価	No.9難易度評価	No.10難易度評価	No.11難易度評価	No.0難易度評価（正規化）	No.1難易度評価（正規化）	No.2難易度評価（正規化）	No.3難易度評価（正規化）	No.4難易度評価（正規化）	No.5難易度評価（正規化）	No.6難易度評価（正規化）	No.7難易度評価（正規化）	No.8難易度評価（正規化）	No.9難易度評価（正規化）	No.10難易度評価（正規化）	No.11難易度評価（正規化）	難易度評価平均	難易度分散（不偏分散）	正規化難易度評価平均	正規化難易度分散（不偏分散）	跳躍割合	上向跳躍割合	下降跳躍割合	音域	音価エントロピー	タイの数	音価コスト	テンポ	音価コストとテンポの積	変化割合	ピッチエントロピー	キャッチネス平均	嗜好度平均	記憶度平均	MSDR	音価変化割合	平均	メジアン	最低音	最高音
Lemon	Aメロ	3	6	4	NaN	NaN	6	5	NaN	4	4	3	6	-0.830020903	1.374436202	0.373544697	NaN	NaN	0.81929073	0.337189306	NaN	-0.432006221	0.172910663	-1.110530442	0.73767236	4.38	1.411	0.09	0.699	0.49	0.21	0.28	16	1.96	14	7.36	87	640.32	0.318	2.34	1.96	7.36	4.75	0.331	0.646	55.2	55	47	63
Lemon	Bメロ	4	4	2	NaN	NaN	6	4	NaN	5	3	5	6	-0.174742967	0.028051917	-0.933858474	NaN	NaN	0.81929073	-0.385354046	NaN	0.345598756	-0.403458213	0.19597596	0.73767236	4.13	1.554	-0.06	0.287	0.093	0.047	0.047	13	1.89	4	6.53	87	568.11	0.267	1.93	1.89	6.53	4	0.217	0.696	58.7	59	51	64
Lemon	サビ	7	6	6	NaN	NaN	6	6	NaN	4	5	6	2	1.791090841	1.374436202	1.680947867	NaN	NaN	0.81929073	1.059732659	NaN	-0.432006221	0.749279539	0.849229161	-1.532088748	5.75	0.786	0.99	0.486	0.33	0.15	0.18	20	1.65	18	5.12	87	445.44	0.195	2.17	1.65	5.12	6.25	0.105	0.895	60.7	59	51	71
ultrasoul	Aメロ	5	NaN	NaN	NaN	5	NaN	5	NaN	NaN	5	3	4	0.480534969	NaN	NaN	NaN	0	NaN	0.337189306	NaN	NaN	0.749279539	-1.110530442	-0.397208194	4.60	0.800	0.09	0.524	0.24	0.16	0.08	10	1.07	4	4.02	127	510.54	0.25	1.75	1.07	4.02	5	0.424	0.394	58.5	59	54	64
ultrasoul	Bメロ	6	NaN	NaN	NaN	6	NaN	6	NaN	NaN	7	6	6	1.135812905	NaN	NaN	NaN	0.960771692	NaN	1.059732659	NaN	NaN	1.902017291	0.849229161	0.73767236	6.20	0.200	1.18	0.174	0.43	0.24	0.19	15	0.333	0	4.33	127	549.91	0.478	2.13	0.333	4.33	6	0.917	0.0833	60.8	61	54	69
ultrasoul	サビ	7	NaN	NaN	NaN	6	NaN	5	NaN	NaN	6	6	6	1.791090841	NaN	NaN	NaN	0.960771692	NaN	0.337189306	NaN	NaN	1.325648415	0.849229161	0.73767236	6.00	0.500	1.05	0.295	0.31	0.16	0.16	13	1.06	2	5.42	127	688.34	0.349	2.09	1.06	5.42	6.5	0.453	0.438	65.3	66	60	73
キセキ	Aメロ	4	5	NaN	7	6	6	5	5	5	2	3	2	-0.174742967	0.701244059	NaN	1.517813054	0.960771692	0.81929073	0.337189306	0.512347577	0.345598756	-0.979827089	-1.110530442	-1.532088748	4.80	2.178	0.29	0.695	0.26	0.14	0.12	13	0.755	2	6.59	90	593.1	0.279	1.75	0.755	6.59	5.6	0.591	0.273	63.4	64	55	68
キセキ	Bメロ	5	6	NaN	5	6	6	6	5	5	3	7	4	0.480534969	1.374436202	NaN	-0.101187537	0.960771692	0.81929073	1.059732659	0.512347577	0.345598756	-0.403458213	1.502482362	-0.397208194	5.40	1.156	0.66	0.373	0.23	0.12	0.11	15	1.13	4	6.71	90	603.9	0.241	2.05	1.13	6.71	5.6	0.425	0.388	63.5	64	55	70
キセキ	サビ	4	6	NaN	6	5	6	4	4	5	4	7	2	-0.174742967	1.374436202	NaN	0.708312759	0	0.81929073	-0.385354046	0	0.345598756	0.172910663	1.502482362	-1.532088748	5.10	1.211	0.44	0.416	0.26	0.14	0.12	14	0.99	4	6.4	90	576	0.287	1.91	0.99	6.4	5.4	0.42	0.407	61.8	62	55	69
チェリー	Aメロ	2	3	3	5	5	NaN	2	5	6	1	5	1	-1.48529884	-0.645140226	-0.280156888	-0.101187537	0	NaN	-1.830440751	0.512347577	1.123203733	-1.556195965	0.19597596	-2.099529025	3.70	2.900	-0.41	0.932	0.14	0.081	0.054	15	1.12	4	5.78	97	560.66	0.116	2.04	1.12	5.78	3.6	0.386	0.341	61.8	62	52	67
チェリー	Bメロ	3	3	3	5	4	NaN	4	7	6	2	5	1	-0.830020903	-0.645140226	-0.280156888	-0.101187537	-0.960771692	NaN	-0.385354046	1.53704273	1.123203733	-0.979827089	0.19597596	-2.099529025	4.20	2.400	-0.13	0.746	0.14	0.028	0.11	13	1.08	4	6.15	97	596.55	0.163	2.06	1.08	6.15	3.6	0.341	0.364	61.1	62	52	65
チェリー	サビ	4	5	4	6	6	NaN	5	7	7	3	6	2	-0.174742967	0.701244059	0.373544697	0.708312759	0.960771692	NaN	0.337189306	1.53704273	1.900808709	-0.403458213	0.849229161	-1.532088748	5.30	1.789	0.68	0.494	0.24	0.2	0.044	9	1.53	4	6.37	97	617.89	0.146	1.65	1.53	6.37	5	0.224	0.894	63.9	64	60	69
小さな恋のうた	Aメロ	4	3	2	5	5	5	4	1	4	2	4	2	-0.174742967	-0.645140226	-0.933858474	-0.101187537	0	0.117043539	-0.385354046	-1.53704273	-0.432006221	-0.979827089	-0.457277241	-1.532088748	3.55	1.873	-0.50	0.243	0.15	0.15	0	9	0.367	8	6.76	202	1365.52	0.276	1.87	0.367	6.76	4	0.564	0.145	51.8	52	47	56
小さな恋のうた	Bメロ	6	2	5	6	5	5	5	1	4	5	5	2	1.135812905	-1.318332368	1.027246282	0.708312759	0	0.117043539	0.337189306	-1.53704273	-0.432006221	0.749279539	0.19597596	-1.532088748	4.45	2.473	0.09	0.777	0.11	0.071	0.036	15	0.753	6	6.32	202	1276.64	0.105	2.17	0.753	6.32	4.833333333	0.231	0.436	53.5	53	46	61
小さな恋のうた	サビ	4	3	6	4	5	4	5	1	5	3	5	2	-0.174742967	-0.645140226	1.680947867	-0.910687832	0	-0.585203652	0.337189306	-1.53704273	0.345598756	-0.403458213	0.19597596	-1.532088748	4.09	1.891	-0.15	0.698	0.24	0.12	0.11	16	1.03	10	4.86	202	981.72	0.226	1.94	1.03	4.86	4.333333333	0.351	0.489	61.5	61	54	70
世界に一つだけの花	Aメロ	1	3	1	2	4	2	2	5	2	1	1	1	-2.140576776	-0.645140226	-1.587560059	-2.529688423	-0.960771692	-1.989698034	-1.830440751	0.512347577	-1.987216174	-1.556195965	-2.417036843	-2.099529025	2.18	1.764	-1.56	0.794	0.14	0.11	0.023	12	1.27	23	7.2	96	691.2	0.0513	1.69	1.27	7.2	2.166666667	0.161	0.627	58.3	57	52	64
世界に一つだけの花	Bメロ	2	2	2	4	3	2	2	5	2	3	3	1	-1.48529884	-1.318332368	-0.933858474	-0.910687832	-1.921543384	-1.989698034	-1.830440751	0.512347577	-1.987216174	-0.403458213	-1.110530442	-2.099529025	2.73	1.018	-1.22	0.598	0.039	0.02	0.02	9	1.29	7	6.22	96	597.12	0.0333	1.36	1.29	6.22	2.5	0.23	0.541	59.7	59	57	66
