曲名,メロディが複雑,音の急な上下,自分の音域に合うか,リズムが複雑,リズムが細かい,テンポが速い,肺活量的に難しい,歌詞が発音しづらい,特殊奏法
キセキA,1,4,12,0,1,0,0,0,0
小さな恋のうたA,1,5,7,3,0,5,1,0,0
世界に一つだけの花A,0,2,0,0,1,0,0,0,0
前前前世A,5,1,4,5,4,6,0,0,0
粉雪A,2,2,4,3,2,0,3,0,0
天体観測A,1,4,5,3,0,1,0,0,0
LemonA,13,5,1,4,0,0,0,0,0
チェリーA,4,2,6,0,1,0,0,0,0
恋A,9,1,1,4,0,1,0,1,0
ultrasoulA,3,2,0,2,2,1,0,0,0
キセキB,1,12,12,1,1,0,0,0,0
小さな恋のうたB,0,4,16,0,0,2,1,0,0
世界に一つだけの花B,2,3,0,2,2,0,0,0,0
前前前世B,15,3,3,7,3,11,5,1,0
粉雪B,3,2,3,4,1,0,1,1,1
天体観測B,5,11,1,4,0,1,0,0,0
LemonB,9,8,1,5,2,0,0,0,0
チェリーB,1,1,8,2,5,0,0,0,0
恋B,9,1,1,6,0,2,0,0,0
ultrasoulB,9,9,1,6,1,4,0,3,0
キセキサビ,0,9,12,1,1,0,2,0,0
小さな恋のうた,0,10,1,1,0,4,0,0,0
世界に一つだけの花サビ,0,1,0,0,1,0,3,0,0
前前前世サビ,9,1,4,5,1,7,7,2,0
粉雪サビ,0,17,9,0,0,0,4,0,0
天体観測サビ,0,10,0,1,1,1,3,1,0
Lemonサビ,9,11,4,4,2,1,2,0,0
チェリーサビ,0,4,17,2,0,0,3,1,0
恋サビ,4,4,3,2,0,4,1,0,0
ultrasoulサビ,4,8,14,1,1,2,0,1,0
