タイムスタンプ,被験者ナンバー,歌った楽曲の名前（アーティストの名前）,嗜好度,なじみやすさ,記憶度,Aメロ難易度,Aメロ理由 [1],Aメロ理由 [2],Aメロ理由 [3],Aメロ理由 [4],Aメロ理由 [5],Aメロ理由 [6],Aメロ理由 [7],Aメロ理由 [8],Aメロ理由 [9],Aメロ理由 [0],Bメロ難易度,Bメロ理由 [1],Bメロ理由 [2],Bメロ理由 [3],Bメロ理由 [4],Bメロ理由 [5],Bメロ理由 [6],Bメロ理由 [7],Bメロ理由 [8],Bメロ理由 [9],Bメロ理由 [0],サビ難易度,サビ理由 [1],サビ理由 [2],サビ理由 [3],サビ理由 [4],サビ理由 [5],サビ理由 [6],サビ理由 [7],サビ理由 [8],サビ理由 [9],サビ理由 [0],こめんと
12/17/2018 20:58:19,0,キセキ,3,5,3,4,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,
12/17/2018 20:59:26,0,小さな恋のうた,3,6,3,4,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,
12/17/2018 21:00:11,0,世界に一つだけの花,5,7,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
12/17/2018 21:01:21,0,前前前世,3,3,2,5,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,1,0,0,0,
12/17/2018 21:02:20,0,粉雪,5,6,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,
12/17/2018 21:03:33,0,天体観測,6,6,3,4,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,1,0,0,0,
12/17/2018 21:05:13,0,Lemon,2,2,2,3,1,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,7,2,1,0,0,2,0,1,0,0,0,
12/17/2018 21:06:07,0,チェリー,6,7,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,
12/19/2018 14:26:58,0,恋,4,3,3,5,1,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,
12/19/2018 19:17:00,0,ultrasoul,7,4,3,5,2,2,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0,7,3,3,1,0,0,0,0,1,0,0,カ行の音韻で音がぶれてしまう
12/16/2018 18:50:34,1,キセキ,7,6,3,5,0,2,2,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0,6,0,2,2,0,0,0,0,0,0,0,
12/16/2018 18:52:11,1,小さな恋のうた,6,6,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
12/16/2018 18:53:29,1,チェリー,5,7,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,響「き」の部分
12/16/2018 18:54:35,1,粉雪,4,4,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,
12/16/2018 18:56:58,1,前前前世,6,6,2,3,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,
12/16/2018 18:57:57,1,天体観測,5,5,3,3,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
12/16/2018 18:59:07,1,世界に一つだけの花,4,6,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
12/17/2018 16:54:39,1,Lemon,6,5,3,6,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,1,0,0,0,
12/17/2018 16:56:06,2,チェリー,4,6,2,3,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
12/17/2018 16:57:40,2,小さな恋のうた,5,6,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,サビのだいじなひ「と」の部分が特に
12/17/2018 17:06:32,2,世界に一つだけの花,5,7,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
12/17/2018 17:08:19,2,前前前世,5,6,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
12/17/2018 17:09:17,2,Lemon,5,7,2,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,
12/17/2018 17:12:02,2,天体観測,7,4,3,4,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,2,0,0,0,
12/17/2018 17:14:12,2,粉雪,5,5,2,2,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,求められる音域が曲の間で大きく異なり、それが難しく感じる
12/19/2018 14:04:55,3,チェリー,7,7,2,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,カラオケのf0抽出異常？場合により欠損値とする
12/19/2018 14:05:57,3,小さな恋のうた,7,7,3,5,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
12/19/2018 14:08:09,3,前前前世,7,7,3,6,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,Aメロ、想像していたよりも出だしが高かった。
12/19/2018 14:09:51,3,粉雪,6,3,2,6,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,Aメロ、出だしが半拍ずれていて覚えてないと歌いづらい　サビの出だしが高い
12/19/2018 14:10:48,3,世界に一つだけの花,7,7,2,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
12/19/2018 14:12:02,3,キセキ,6,7,2,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,
12/19/2018 14:13:18,3,天体観測,7,7,3,5,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
12/19/2018 14:14:25,3,恋,7,7,3,5,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,
12/19/2018 19:03:08,4,小さな恋のうた,4,6,2,5,1,2,1,3,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,
12/19/2018 19:05:21,4,ultrasoul,5,3,2,5,1,0,0,2,1,0,0,0,0,0,6,1,2,0,3,1,1,0,0,0,0,6,1,3,2,1,1,1,0,0,0,0,サビが高め、音高のアップダウンが激しい
12/19/2018 19:07:20,4,キセキ,4,5,2,6,0,2,3,0,1,0,0,0,0,0,6,1,2,1,0,1,0,0,0,0,0,5,0,2,3,0,1,0,0,0,0,0,
12/19/2018 19:09:04,4,粉雪,6,6,2,5,0,2,1,0,1,0,3,0,0,0,5,0,2,3,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,
12/19/2018 19:10:24,4,チェリー,7,5,3,5,3,2,0,0,1,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,曲がりくねっ「た」
12/19/2018 19:11:46,4,天体観測,4,3,2,5,0,3,2,0,0,0,0,0,0,0,6,2,3,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,Bメロ複雑
12/19/2018 19:13:43,4,前前前世,5,6,2,5,0,0,1,0,2,1,0,0,0,0,7,3,1,0,1,1,2,0,1,0,0,5,0,0,0,0,0,0,1,1,0,0,
12/19/2018 19:14:53,4,世界に一つだけの花,5,6,2,4,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,
12/19/2018 18:55:07,5,小さな恋のうた,7,7,2,5,0,3,2,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,ひ「と」ほどなどピッチがあがるところが特に難しいと感じた
12/19/2018 18:56:07,5,世界に一つだけの花,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,全体的にテンポが遅い
12/19/2018 18:57:26,5,恋,7,7,2,5,3,0,1,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,5,0,0,3,0,0,0,1,0,0,0,指の「まざり」　ほほの「かおり」
12/19/2018 18:59:05,5,前前前世,7,6,1,6,0,0,3,0,0,3,0,0,0,0,6,0,0,3,0,0,3,0,0,0,0,5,0,0,3,0,0,3,0,0,0,0,
12/19/2018 18:59:57,5,キセキ,2,7,1,6,0,0,3,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,
12/19/2018 19:01:09,5,Lemon,6,7,1,6,3,0,0,1,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,
12/23/2018 17:49:14,6,恋,5,4,1,6,2,0,0,3,0,0,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,慣れていないのもあるが、全部難しい
12/23/2018 17:50:21,6,前前前世,4,3,1,7,3,0,0,2,0,0,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,7,2,0,0,3,0,0,0,0,0,0,
12/23/2018 17:51:47,6,粉雪,5,5,2,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,1,0,0,0,低音部はやや音をとりにくい（難しさを感じるほどではない）
12/23/2018 17:53:13,6,Lemon,6,4,1,5,3,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,6,2,3,1,1,0,0,0,0,0,0,臨時記号の存在が難しい
12/23/2018 17:54:13,6,世界に一つだけの花,6,7,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,
12/23/2018 17:55:31,6,天体観測,5,5,2,4,0,1,0,2,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,
12/23/2018 18:12:43,6,小さな恋のうた,5,6,3,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,5,0,1,0,0,0,1,0,0,0,0,Bメロの「響くはとおく」が低い
12/23/2018 18:15:29,6,チェリー,6,6,3,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,
12/23/2018 18:17:01,6,キセキ,6,5,2,5,0,0,0,0,0,0,0,0,0,3,6,0,2,1,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,上に音が急に上がる部分
12/23/2018 18:18:31,6,ultrasoul,6,4,2,5,0,0,0,0,1,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,Bメロの跳躍の連続が歌いづらい
12/23/2018 18:35:50,7,小さな恋のうた,7,7,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,自分の音域には合うと思う
12/23/2018 18:37:30,7,前前前世,3,7,1,6,1,0,0,2,1,1,0,0,0,0,6,1,0,0,3,1,1,2,0,0,0,5,1,0,0,0,1,1,1,0,0,0,聞いた印象と歌う印象が違う。結構難しい。
12/23/2018 18:39:52,7,世界に一つだけの花,4,7,1,5,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,（本人口頭で）自分はメロディをおぼえてない曲を難しく感じる。覚えてたらたぶん歌うのは簡単なんだろうなと思う。
12/23/2018 18:40:44,7,粉雪,5,5,2,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,6,0,0,3,0,0,0,2,0,0,0,
12/23/2018 18:41:57,7,天体観測,7,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1番→2番のテンション差が難しい
12/23/2018 18:43:51,7,チェリー,5,5,2,5,0,0,1,0,0,0,0,0,0,0,7,0,0,2,1,1,0,0,0,0,0,7,0,1,3,2,0,0,0,0,0,0,
