曲名,メロディが複雑,音の急な上下,自分の音域に合うか,リズムが複雑,リズムが細かい,テンポが速い,肺活量的に難しい,歌詞が発音しづらい,特殊奏法
キセキ,1,4,12,0,1,0,0,0,0
小さな恋のうた,1,5,7,3,0,5,1,0,0
世界に一つだけの花,0,2,0,0,1,0,0,0,0
前前前世,5,1,4,5,4,6,0,0,0
粉雪,2,2,4,3,2,0,3,0,0
天体観測,1,4,5,3,0,1,0,0,0
Lemon,13,5,1,4,0,0,0,0,0
チェリー,4,2,6,0,1,0,0,0,0
恋,9,1,1,4,0,1,0,1,0
ultrasoul,3,2,0,2,2,1,0,0,0
キセキ,1,12,12,1,1,0,0,0,0
小さな恋のうた,0,4,16,0,0,2,1,0,0
世界に一つだけの花,2,3,0,2,2,0,0,0,0
前前前世,15,3,3,7,3,11,5,1,0
粉雪,3,2,3,4,1,0,1,1,1
天体観測,5,11,1,4,0,1,0,0,0
Lemon,9,8,1,5,2,0,0,0,0
チェリー,1,1,8,2,5,0,0,0,0
恋,9,1,1,6,0,2,0,0,0
ultrasoul,9,9,1,6,1,4,0,3,0
キセキ,0,9,12,1,1,0,2,0,0
小さな恋のうた,0,10,1,1,0,4,0,0,0
世界に一つだけの花,0,1,0,0,1,0,3,0,0
前前前世,9,1,4,5,1,7,7,2,0
粉雪,0,17,9,0,0,0,4,0,0
天体観測,0,10,0,1,1,1,3,1,0
Lemon,9,11,4,4,2,1,2,0,0
チェリー,0,4,17,2,0,0,3,1,0
恋,4,4,3,2,0,4,1,0,0
ultrasoul,4,8,14,1,1,2,0,1,0
