,time_stamp,age,sex,singing_competence,song,amero_difficulty,amero_reason,amero_reason_free,bmero_difficulty,bmero_reason,bmero_reason_free,sabi_difficulty,sabi_reason,sabi_reason_free,preference,memorized,frequency,listenable,other
0,1,23,男性,3,チェリー,2,9,,1,0,,3,0,,3,3,1,3,
1,1,23,男性,3,TSUNAMI,1,9,,1,9,,2,9,,3,2,2,2,
2,1,23,男性,3,紅蓮の弓矢,2,9,,3,6,,3,4,,3,2,1,2,
3,1,23,男性,3,浪漫飛行,3,0,,2,0,,3,1,,2,2,1,2,
4,1,23,男性,3,アポロ,1,"3, 9",,3,6,,4,"6, 9",,3,3,2,3,
5,1,23,男性,3,粉雪,1,9,,1,9,,3,2,,3,3,2,3,
6,2,21,男性,3,チェリー,1,6,,1,"6, 9",,1,2,,4,3,1,4,
7,2,21,男性,3,TSUNAMI,2,"1, 9",,2,"1, 9",,1,2,,4,3,1,4,
8,2,21,男性,3,紅蓮の弓矢,2,"4, 7, 9",,3,"1, 3, 9",,1,3,,3,1,1,1,
9,2,21,男性,3,浪漫飛行,3,"0, 2",,4,"0, 9",,2,6,,2,2,1,4,
10,2,21,男性,3,アポロ,2,"2, 3",,2,"0, 3, 5",,1,"2, 3",,4,2,1,4,
11,2,21,男性,3,粉雪,1,9,,2,9,,3,"2, 9",,3,2,1,4,
12,1,23,男性,3,アイネクライネ(米津玄師),4,"6, 9",,2,9,,3,"1, 4, 9",,4,3,4,4,
13,1,23,男性,3,晴れ舞台(ジェロ),4,"0, 8, 9",,4,8,,4,8,,4,3,4,4,
14,2,21,男性,3,オレンジレンジ,4,"0, 1, 4, 5, 9",,2,"0, 4, 5",,3,"4, 5, 8",,4,1,2,3,
15,2,21,男性,3,米津玄師,4,"0, 3, 5, 6, 9",,1,"3, 6",,4,"3, 4, 6",,4,2,2,3,早口言葉
16,3,21,男性,3,チェリー,2,0,,2,0,,2,2,,2,3,1,4,
17,3,21,男性,3,TSUNAMI,3,0,,3,4,,2,2,,3,1,1,2,
18,3,21,男性,3,紅蓮の弓矢,2,"1, 3",,4,"0, 1, 3",,2,3,,1,2,1,1,
19,3,21,男性,3,浪漫飛行,3,"1, 9",,3,"1, 9",,2,1,,4,3,3,3,
20,3,21,男性,3,アポロ,3,"1, 3, 4",,3,"3, 4, 5",,4,"1, 2, 3, 4, 5",,1,3,1,1,
21,3,21,男性,3,粉雪,1,9,,2,"1, 4",,4,"1, 2, 4",,4,3,3,4,
22,3,21,男性,3,浮世CROSSING(UVERworld),4,"1, 3, 4, 5",,2,"2, 3",,4,"1, 2, 3",,4,3,4,1,基本誰が歌っても難しいと答えると思います
23,3,21,男性,3,LOSER(米津玄師),4,"0, 3, 4, 5",,3,"3, 4, 5",,3,"2, 3, 4, 5",,4,3,3,3,全体的に滑舌が追いつきません
24,4,24,男性,4,チェリー,1,9,,1,None,,2,9,,4,3,2,4,
25,4,24,男性,4,TSUNAMI,3,0,,3,"0, 2",,2,None,,4,2,1,3,
26,4,24,男性,4,紅蓮の弓矢,4,"0, 1, 4",,2,None,,2,None,,3,1,1,2,
27,4,24,男性,4,浪漫飛行,1,None,,1,None,,1,None,,4,3,1,3,
28,4,24,男性,4,アポロ,3,"0, 6",,3,"0, 3",,3,3,,3,1,1,2,
29,4,24,男性,4,粉雪,2,None,,2,None,,3,2,,4,2,1,3,
30,4,24,男性,4,BUMP OF CHICKEN,3,"0, 4",,3,"0, 1, 4",,3,"0, 1, 4",,3,3,4,3,
31,5,24,男性,2,チェリー,3,3,,3,2,,2,None,,4,2,2,4,
32,5,24,男性,2,TSUNAMI,2,None,,3,2,,1,None,,4,2,3,4,
33,5,24,男性,2,粉雪,3,"3, 4, 5",,4,"0, 4",,1,None,,3,1,2,3,
34,5,24,男性,2,浪漫飛行,4,"0, 4, 5",,4,"0, 3, 4, 5",,2,None,,4,1,1,3,
35,5,24,男性,2,ホウキ雲 RYTHEM,3,"0, 4",,2,None,,3,"0, 4",,3,2,2,3,
36,5,24,男性,2,マスターピース mihimaru GT,4,"2, 5",,4,"0, 4",,2,None,,3,2,3,3,
37,6,24,男性,2,チェリー,2,None,,3,"0, 1, 6",,3,2,,4,2,2,3,気分が楽しくなる曲です
38,6,24,男性,2,アポロ,2,None,,3,"0, 4",,4,"0, 1, 3, 4",,3,1,1,4,
39,6,24,男性,2,粉雪,3,9,,3,"0, 4",,3,1,,4,2,2,3,
40,6,24,男性,2,小さな恋のうた(MONGOL800),1,None,,2,None,,2,None,,4,3,4,4,
41,6,24,男性,2,sailing day (BUMP OF CHICKEN),3,"0, 1, 4, 5",,3,"0, 4, 5",,3,"0, 1, 3, 4, 5",,4,2,3,3,
42,6,24,男性,2,月灯りの下で(MONGOL800),3,"0, 1, 4",,2,None,,4,"0, 1, 2, 4, 5, 6, 9",,4,2,3,2,
